Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
001 081,squat,329,297,373,385,239,365,305,361,139,333,333,549,353,721,303,721,357,893,287,875
karthik_squats_3 041,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
karthik_squats_1 045,squat,331,497,257,602,409,590,241,656,418,658,330,721,282,833,398,841,267,918,369,913
karthik_squats_3 034,squat,388,554,270,628,290,593,147,629,170,615,490,779,351,812,365,767,403,932,401,907
karthik_squats_1 043,squat,335,429,262,514,410,495,232,561,426,532,343,673,284,811,391,819,267,918,369,913
karthik_squats_2 044,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 078,squat,307,557,345,625,221,605,261,643,137,609,361,711,317,771,259,767,353,891,287,877
001 084,squat,313,351,351,431,219,415,257,413,131,397,341,575,335,747,275,743,359,899,287,881
karthik_squats_1 023,squat,357,403,283,497,424,492,267,534,429,522,349,660,307,816,413,832,267,918,369,913
karthik_squats_3 040,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
11 041.jpg,squat,171,176,235,233,248,157,252,291,261,212,319,163,400,208,400,158,476,191,488,145
001 026,squat,299,617,339,703,209,687,279,745,109,707,327,743,323,777,265,771,357,893,291,869
11 040.jpg,squat,140,177,209,237,215,153,231,304,225,209,302,168,399,187,404,153,476,191,488,145
001 023,squat,313,399,349,469,203,453,265,453,111,433,333,603,337,743,269,737,363,885,293,871
karthik_squats_2 047,squat,337,616,289,686,396,673,251,756,408,744,341,784,287,862,416,863,332,901,434,910
11 013.jpg,squat,342,182,386,233,408,172,415,293,438,220,426,161,409,221,425,164,470,194,481,146
11 009.jpg,squat,137,188,212,238,221,165,243,297,240,212,309,177,403,193,407,152,470,194,481,146
karthik_squats_3 044,squat,425,501,308,543,322,524,182,541,194,523,513,739,386,815,392,793,403,932,401,907
001 067,squat,301,639,341,707,221,685,271,741,125,709,385,773,317,777,269,765,361,895,295,877
11 014.jpg,squat,314,181,363,227,385,167,404,293,418,216,396,162,415,215,422,165,470,194,481,146
karthik_squats_2 040,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_3 025,squat,437,364,309,408,309,408,180,399,180,399,484,636,390,761,390,761,403,932,401,907
10 014.jpg,squat,137,228,206,164,206,164,217,82,202,82,316,228,416,203,397,201,521,211,492,208
10 013.jpg,squat,140,228,216,160,216,160,226,81,212,93,321,229,414,205,402,200,521,211,492,208
10 004.jpg,squat,242,204,299,151,299,151,314,67,291,85,368,265,428,175,409,172,521,211,492,208
11 016.jpg,squat,177,177,241,230,253,159,271,292,277,217,318,163,403,201,406,155,470,194,481,146
karthik_squats_1 042,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
11 039.jpg,squat,140,176,211,236,220,158,236,296,232,219,299,171,391,187,399,153,476,192,489,144
karthik_squats_1 031,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_1 004,squat,316,440,243,502,388,488,235,523,393,514,317,667,253,816,375,833,293,917,370,917
001 055,squat,295,573,323,639,195,325,253,663,93,641,335,719,313,789,259,785,349,905,273,885
11 012.jpg,squat,306,186,355,237,375,175,392,301,403,225,389,167,419,217,426,177,470,194,481,146
001 082,squat,325,303,363,389,237,367,287,357,137,341,329,541,351,719,289,725,353,895,289,875
karthik_squats_2 038,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_1 054,squat,324,335,244,413,394,392,195,447,409,416,328,610,276,787,373,777,267,918,369,913
001 100,squat,313,359,351,449,219,439,271,455,135,431,345,589,351,747,387,741,361,897,295,879
10 020.jpg,squat,167,202,245,153,226,154,266,73,248,86,308,261,397,196,377,192,505,207,483,193
karthik_squats_2 057,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
10 037.jpg,squat,228,206,294,156,270,156,302,64,276,78,351,275,404,173,379,172,489,212,465,205
karthik_squats_3 045,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
001 087,squat,295,615,337,705,213,681,259,737,129,705,261,755,317,783,267,771,355,895,287,877
karthik_squats_3 019,squat,364,643,255,681,280,660,135,681,154,668,452,849,289,809,322,762,403,932,401,907
10 006.jpg,squat,349,200,420,154,390,158,443,79,410,90,460,275,442,182,415,178,521,211,492,208
001 072,squat,321,309,355,391,223,375,279,371,127,357,331,549,353,725,297,733,357,893,289,883
11 034.jpg,squat,324,182,378,232,395,167,430,303,444,219,391,164,407,217,422,156,476,192,489,144
karthik_squats_1 019,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_2 030,squat,351,571,296,643,402,639,270,725,412,685,362,759,298,852,407,860,332,901,434,910
001 037,squat,311,539,347,617,217,603,267,643,121,611,323,699,319,769,259,769,349,893,277,885
10 003.jpg,squat,163,217,235,162,235,162,244,76,232,88,323,242,412,196,400,194,521,211,492,208
001 076,squat,303,583,337,657,221,641,255,685,133,657,371,727,321,777,259,773,361,893,287,875
karthik_squats_3 021,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
karthik_squats_3 007,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
10 048.jpg,squat,265,195,329,143,301,149,343,67,302,76,377,271,401,171,378,175,483,208,459,201
karthik_squats_2 010,squat,363,439,310,501,425,490,288,531,437,520,366,670,304,793,421,808,332,901,434,910
karthik_squats_2 058,squat,332,420,262,478,395,468,268,515,413,497,338,651,278,803,391,793,332,901,434,910
karthik_squats_2 011,squat,363,612,303,682,410,678,274,742,422,720,362,787,295,870,428,881,332,901,434,910
karthik_squats_2 002,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_2 006,squat,367,588,302,652,422,657,294,701,423,698,369,761,293,853,414,863,332,901,434,910
001 039,squat,321,317,363,399,219,375,295,373,107,349,329,557,351,729,295,725,351,891,279,881
karthik_squats_2 026,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
11 047.jpg,squat,139,184,214,238,218,159,243,302,232,221,309,172,390,186,398,144,476,191,488,145
karthik_squats_1 046,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_1 025,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
001 036,squat,303,623,343,701,209,681,275,741,117,715,353,759,317,773,261,769,349,891,281,879
11 021.jpg,squat,181,172,244,231,262,154,268,285,272,206,319,168,405,211,409,163,481,196,491,150
karthik_squats_3 046,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
10 041.jpg,squat,152,206,230,151,211,150,253,74,223,83,307,256,392,191,368,187,483,208,459,201
10 035.jpg,squat,117,235,189,163,179,167,199,80,180,91,306,234,393,212,390,202,489,212,465,205
10 015.jpg,squat,159,222,224,156,224,156,235,74,220,85,310,247,407,187,389,186,521,211,492,208
11 017.jpg,squat,153,175,218,227,231,151,250,286,250,205,298,165,395,188,402,151,481,196,491,150
karthik_squats_2 052,squat,344,407,287,448,420,439,274,469,423,457,353,645,286,805,395,785,332,901,434,910
karthik_squats_3 022,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
karthik_squats_1 026,squat,353,427,277,514,426,487,246,562,453,520,354,667,295,841,418,836,267,918,369,913
karthik_squats_2 034,squat,347,426,292,495,411,483,281,511,433,502,356,661,291,790,399,810,332,901,434,910
10 043.jpg,squat,117,226,185,155,185,155,190,69,173,82,288,238,382,206,377,206,483,208,459,201
karthik_squats_3 012,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
11 025.jpg,squat,243,178,313,232,321,164,357,293,358,205,349,161,409,208,413,159,481,196,491,150
001 022,squat,319,313,335,385,219,371,275,373,129,351,331,555,351,719,297,713,363,881,293,867
karthik_squats_3 042,squat,421,453,323,503,326,511,194,508,194,508,546,691,417,799,417,799,403,932,401,907
karthik_squats_1 047,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
11 038.jpg,squat,139,178,213,241,221,159,240,300,237,220,308,171,394,187,392,154,476,192,489,144
001 044,squat,295,457,329,535,193,519,243,549,103,523,329,647,325,759,259,761,343,893,275,881
karthik_squats_1 048,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
001 032,squat,321,313,351,387,225,375,287,369,119,355,325,543,347,717,283,727,349,891,279,873
001 085,squat,307,449,341,529,215,501,257,535,127,501,337,655,325,767,259,769,359,897,287,881
10 047.jpg,squat,160,214,218,153,218,153,212,84,224,64,311,253,393,181,373,177,483,208,459,201
karthik_squats_1 037,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
001 024,squat,305,503,345,577,211,561,269,599,111,571,343,671,331,763,267,761,363,887,291,865
001 025,squat,303,613,341,695,209,667,265,733,113,699,373,731,335,767,271,761,357,883,289,867
001 053,squat,311,351,343,421,207,405,257,403,101,377,325,581,341,755,267,741,351,905,281,887
karthik_squats_3 033,squat,384,629,286,700,296,676,144,730,181,707,485,844,345,814,363,774,403,932,401,907
11 043.jpg,squat,343,185,392,237,408,167,433,296,446,219,418,165,407,215,426,156,476,191,488,145
001 019,squat,321,305,361,383,221,367,283,371,119,341,323,553,371,715,307,721,365,883,291,867
001 029,squat,319,309,367,377,219,367,295,371,117,353,335,529,349,713,297,719,359,881,283,869
karthik_squats_1 033,squat,344,588,276,685,409,678,243,788,423,774,352,779,266,873,393,869,267,918,369,913
karthik_squats_1 029,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_1 024,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
001 095,squat,301,395,341,485,217,465,259,485,111,457,343,623,325,761,273,753,359,893,289,883
karthik_squats_2 049,squat,341,402,280,469,408,463,278,504,419,491,342,654,295,795,399,801,332,901,434,910
10 005.jpg,squat,324,192,389,153,363,152,408,72,374,86,435,375,437,174,408,179,521,211,492,208
001 070,squat,313,341,359,415,217,407,281,405,121,385,341,571,343,731,291,723,361,889,289,875
001 071,squat,325,315,363,389,225,381,289,369,123,351,329,553,357,727,303,733,361,895,291,873
11 005.jpg,squat,137,188,212,238,221,165,243,297,240,212,309,177,403,193,407,152,470,194,481,146
karthik_squats_1 017,squat,351,428,264,527,414,512,262,571,430,555,352,686,292,840,410,849,267,918,369,913
karthik_squats_1 041,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
001 033,squat,307,383,343,459,205,445,261,449,107,439,333,613,335,745,257,739,349,885,283,875
karthik_squats_2 028,squat,356,479,283,546,418,526,279,586,427,559,348,694,302,828,403,833,332,901,434,910
001 074,squat,313,385,345,453,225,439,255,449,127,431,327,605,341,745,271,749,359,889,289,879
001 005,squat,297,574,341,677,217,651,265,711,120,672,356,726,328,777,259,763,362,890,294,874
karthik_squats_1 035,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_2 009,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
10 042.jpg,squat,114,217,193,156,177,157,201,72,180,83,285,239,385,210,374,203,483,208,459,201
karthik_squats_1 036,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_3 047,squat,406,517,288,571,307,564,165,575,164,575,534,748,396,811,398,772,403,932,401,907
001 097,squat,295,623,337,691,205,671,267,727,121,699,383,749,321,785,277,779,359,895,287,881
11 023.jpg,squat,347,180,395,228,416,160,442,299,455,207,418,162,402,217,427,154,481,196,491,150
001 016,squat,301,605,345,691,213,669,269,725,125,699,335,741,325,773,263,761,367,883,307,873
11 019.jpg,squat,146,166,214,221,226,151,244,289,241,199,312,168,401,186,413,146,481,196,491,150
001 059,squat,307,381,335,459,201,453,245,453,97,429,329,595,331,745,269,751,347,893,281,879
001 047,squat,303,593,331,677,203,651,265,703,99,669,329,747,309,787,249,779,347,895,275,881
karthik_squats_1 005,squat,317,550,248,622,381,611,224,667,405,654,320,739,264,846,382,878,268,938,374,926
001 061,squat,317,311,349,381,215,365,275,359,127,345,333,547,347,721,291,717,347,889,277,875
karthik_squats_2 053,squat,334,621,274,691,401,675,230,726,418,727,341,776,283,857,39,860,332,901,434,910
11 002.jpg,squat,138,187,213,238,221,164,245,298,239,213,299,182,297,194,401,153,472,196,478,148
karthik_squats_3 026,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
001 008,squat,318,365,357,467,231,447,271,471,143,441,353,594,342,745,278,739,363,880,296,872
10 002.jpg,squat,152,227,220,165,220,165,229,81,221,93,327,238,428,210,422,207,521,211,492,208
karthik_squats_2 019,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_3 015,squat,406,443,300,487,309,466,159,462,193,446,456,708,333,772,343,740,403,932,401,907
11 036.jpg,squat,166,185,245,241,246,166,284,308,279,228,300,166,396,205,405,156,476,192,489,144
karthik_squats_2 037,squat,357,401,292,469,425,466,297,501,433,497,361,661,311,794,411,793,332,901,434,910
10 012.jpg,squat,146,227,221,161,221,161,233,75,221,84,314,234,407,209,404,202,521,211,492,208
karthik_squats_3 032,squat,423,378,319,429,322,452,181,430,208,448,506,632,401,761,416,759,403,932,401,907
001 065,squat,297,499,337,559,211,549,261,569,117,537,337,677,319,775,261,767,355,893,287,877
11 011.jpg,squat,225,193,286,248,300,175,311,296,314,226,343,169,408,220,417,167,470,194,481,146
karthik_squats_3 010,squat,408,477,288,523,299,495,149,501,183,486,461,741,331,782,327,743,403,932,401,907
karthik_squats_2 008,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_3 029,squat,389,557,280,619,287,593,133,604,171,586,475,798,335,796,344,749,403,932,401,907
karthik_squats_2 062,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 083,squat,327,307,355,385,229,369,275,355,129,333,331,551,349,717,295,729,355,891,285,879
10 029.jpg,squat,250,191,327,154,302,146,354,71,316,79,359,282,400,185,380,179,505,207,483,193
001 002,squat,312,354,357,456,215,450,281,456,125,446,345,603,340,747,271,737,363,895,295,880
11 007.jpg,squat,137,188,212,238,221,165,243,297,240,212,309,177,403,193,407,152,470,194,481,146
karthik_squats_3 036,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
karthik_squats_2 016,squat,376,475,315,533,427,522,321,558,430,540,378,682,326,821,424,821,332,901,434,910
karthik_squats_1 006,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_3 018,squat,393,499,288,556,298,531,168,548,168,548,498,727,357,770,354,741,403,932,401,907
karthik_squats_3 023,squat,384,563,290,626,291,615,166,630,180,633,502,774,342,791,370,757,403,932,401,907
11 046.jpg,squat,168,190,251,244,252,172,287,299,283,222,318,163,396,205,400,161,476,191,488,145
11 032.jpg,squat,287,178,337,233,352,164,359,295,373,206,308,159,413,211,418,165,476,192,489,144
001 099,squat,303,577,347,647,215,627,269,681,107,641,349,723,325,773,273,767,359,889,289,873
001 080,squat,325,327,369,403,233,383,289,385,135,361,339,549,347,737,287,727,359,889,287,877
karthik_squats_3 003,squat,372,435,287,472,287,472,164,447,164,447,475,683,358,785,358,785,403,932,401,907
10 027.jpg,squat,316,195,380,151,354,152,405,72,365,86,416,278,402,183,386,177,505,207,483,193
karthik_squats_2 029,squat,351,625,299,713,399,689,270,784,429,746,356,818,285,884,404,887,332,901,434,910
001 088,squat,303,575,339,649,215,623,259,665,125,633,375,719,315,775,263,773,359,897,287,881
10 032.jpg,squat,115,228,196,161,184,164,206,78,186,86,298,238,398,208,398,208,489,212,465,205
001 006,squat,302,584,345,680,221,657,274,705,125,674,354,736,319,775,262,760,360,891,296,875
karthik_squats_1 051,squat,324,441,258,539,401,538,214,594,410,597,334,681,260,836,382,817,267,918,369,913
001 007,squat,309,515,346,602,224,581,279,619,125,581,355,683,322,768,257,761,364,888,295,872
001 073,squat,317,319,351,397,221,379,269,381,125,365,329,563,349,733,287,731,359,889,287,881
karthik_squats_2 005,squat,371,568,310,618,436,612,304,656,426,645,374,765,313,844,430,865,332,901,434,910
10 034.jpg,squat,116,232,194,161,176,170,205,84,183,89,300,237,389,214,389,214,489,212,465,205
karthik_squats_3 020,squat,417,416,298,467,316,449,169,446,184,445,459,687,351,767,364,751,403,932,401,907
001 077,squat,309,637,341,701,229,681,267,721,145,703,385,761,319,767,269,761,359,893,289,877
karthik_squats_1 040,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
001 048,squat,307,461,337,539,203,519,253,539,103,513,341,659,321,759,257,769,347,899,277,883
karthik_squats_1 014,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_3 043,squat,408,677,300,726,310,700,152,742,207,721,516,886,356,848,367,800,403,932,401,907
karthik_squats_1 016,squat,339,632,279,729,408,713,246,812,423,788,342,813,263,875,402,891,267,918,369,913
11 006.jpg,squat,137,188,212,238,221,165,243,297,240,212,309,177,403,193,407,152,470,194,481,146
karthik_squats_1 003,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
10 028.jpg,squat,316,191,392,146,366,152,418,82,380,85,430,277,407,182,390,185,505,207,483,193
karthik_squats_2 061,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 058,squat,303,537,333,613,199,595,257,635,111,607,325,701,313,777,251,771,347,899,275,881
karthik_squats_3 049,squat,400,437,293,491,297,478,157,491,173,475,496,701,198,794,380,781,403,932,401,907
001 017,squat,303,497,351,571,219,555,275,589,119,557,329,673,319,761,263,761,361,889,291,871
karthik_squats_1 038,squat,342,553,258,665,411,642,230,729,413,713,339,756,265,877,409,871,267,918,369,913
001 064,squat,307,357,343,435,213,423,253,427,115,403,329,585,335,753,273,741,353,883,281,871
001 010,squat,332,301,373,385,239,369,287,359,142,338,335,553,363,707,308,733,366,885,300,871
karthik_squats_1 022,squat,338,622,273,712,408,697,232,804,421,753,348,818,278,879,398,878,267,918,369,913
001 018,squat,311,369,353,451,217,433,281,449,121,417,337,581,345,733,283,731,369,881,297,867
karthik_squats_3 005,squat,375,497,248,552,278,525,119,537,154,524,461,748,315,792,331,764,403,932,401,907
karthik_squats_3 004,squat,359,608,270,661,278,634,133,650,165,631,446,837,285,828,319,777,403,932,401,907
10 021.jpg,squat,121,216,205,161,190,163,225,80,206,89,26,246,392,215,388,217,505,207,483,193
001 043,squat,315,347,343,423,199,407,273,407,109,393,331,595,337,739,281,731,347,891,277,877
karthik_squats_1 018,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
11 037.jpg,squat,137,185,209,240,215,164,240,304,236,223,285,175,398,187,400,148,476,192,489,144
11 035.jpg,squat,255,187,322,236,332,166,374,303,376,215,355,160,405,204,412,167,476,192,489,144
karthik_squats_1 002,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_2 046,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 049,squat,315,351,349,431,217,409,267,409,111,387,327,587,341,737,275,743,355,897,279,885
karthik_squats_1 021,squat,338,622,273,712,408,697,232,804,421,753,348,818,278,879,398,878,267,918,369,913
karthik_squats_1 011,squat,328,556,249,651,401,640,220,718,428,697,335,757,274,876,398,873,267,918,369,913
karthik_squats_2 015,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_1 049,squat,332,488,24,594,402,583,208,662,428,636,326,703,266,828,403,842,267,918,369,913
karthik_squats_1 044,squat,334,597,262,712,406,689,227,795,408,776,339,804,271,861,4411,865,267,918,369,913
karthik_squats_1 009,squat,331,399,255,487,395,477,236,519,408,504,332,658,277,825,402,827,267,918,369,913
001 090,squat,307,341,357,433,215,415,263,413,127,395,359,583,347,735,301,729,361,895,295,879
karthik_squats_1 010,squat,327,611,251,711,388,685,215,765,405,756,329,798,268,882,399,907,267,918,369,913
11 022.jpg,squat,282,180,337,239,356,163,357,296,376,208,374,162,412,215,421,164,481,196,491,150
001 041,squat,327,309,361,385,213,361,285,349,119,333,319,547,339,713,283,725,345,889,275,879
001 012,squat,319,330,352,407,224,384,259,380,125,361,339,571,352,726,289,723,366,895,298,876
karthik_squats_3 031,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
10 049.jpg,squat,331,191,402,140,364,145,419,71,375,80,433,267,396,179,374,178,483,208,459,201
11 026.jpg,squat,158,180,230,235,241,154,263,299,259,204,295,163,392,202,399,153,481,196,491,150
10 046.jpg,squat,115,226,181,159,181,159,183,72,171,83,287,235,389,201,389,201,483,208,459,201
karthik_squats_1 034,squat,345,402,275,502,417,497,248,545,426,542,354,661,278,809,390,820,267,918,369,913
karthik_squats_3 016,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
10 036.jpg,squat,136,227,208,159,197,165,217,77,198,88,298,256,386,193,370,186,489,212,465,205
karthik_squats_3 030,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
001 098,squat,297,645,343,719,209,695,271,759,111,725,377,763,335,787,275,769,357,891,293,877
001 050,squat,323,317,359,399,221,379,277,363,121,337,327,555,351,739,297,739,347,899,283,883
001 009,squat,323,304,364,396,233,377,279,374,135,354,342,545,366,710,304,713,370,882,300,870
11 045.jpg,squat,261,188,335,243,347,176,380,301,388,216,364,162,412,216,414,167,476,191,488,145
001 021,squat,325,295,353,377,231,361,271,359,135,337,329,541,367,719,300,717,363,881,299,869
11 010.jpg,squat,151,193,220,240,236,171,256,307,251,214,301,181,395,204,400,158,470,194,481,146
11 031.jpg,squat,184,174,247,233,259,151,267,287,270,202,315,165,402,206,408,158,476,192,489,144
11 018.jpg,squat,150,170,217,228,227,150,249,286,242,207,295,168,401,188,411,147,481,196,491,150
karthik_squats_2 004,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 015,squat,303,617,345,697,213,681,269,729,117,707,329,745,329,775,269,763,363,893,301,877
karthik_squats_2 024,squat,366,494,308,586,425,581,288,636,417,619,357,724,310,824,415,851,332,901,434,910
karthik_squats_3 011,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
karthik_squats_1 001,squat,316,265,247,336,395,337,235,354,392,364,325,578,278,748,357,749,269,924,364,916
10 016.jpg,squat,246,205,320,148,288,155,317,64,294,87,372,263,418,170,396,167,505,207,483,193
001 035,squat,303,609,335,693,203,673,271,733,107,703,331,741,325,777,257,767,349,895,279,875
10 044.jpg,squat,112,225,178,157,178,157,189,68,171,81,290,231,387,204,387,204,483,208,459,201
001 028,squat,313,389,353,469,211,461,283,481,119,445,333,599,333,739,269,739,355,881,287,867
001 089,squat,307,461,343,543,217,525,263,543,123,517,345,663,321,759,273,755,357,891,291,877
karthik_squats_3 002,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
karthik_squats_1 056,squat,315,542,234,657,396,632,197,742,407,721,324,739,249,838,387,850,267,918,369,913
karthik_squats_3 024,squat,374,603,273,665,283,644,125,673,125,673,478,827,334,800,345,760,403,932,401,907
001 014,squat,308,536,344,607,219,588,257,625,120,596,347,692,327,771,262,768,367,896,296,876
karthik_squats_3 038,squat,404,633,307,687,314,668,171,709,171,709,506,826,371,828,379,791,403,932,401,907
