Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
11 044.jpg,squat,331,185,388,274,405,162,444,295,450,212,411,164,413,217,433,164,476,191,488,145
001 066,squat,297,595,337,663,213,641,265,685,107,651,363,737,319,781,267,777,365,893,291,877
10 024.jpg,squat,122,232,199,168,185,170,209,80,190,96,299,242,390,213,32,204,505,207,483,193
11 024.jpg,squat,323,182,377,235,396,160,430,302,440,208,394,162,413,216,424,163,481,196,491,150
karthik_squats_2 033,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
11 015.jpg,squat,244,181,310,238,326,167,346,294,349,214,351,158,412,211,413,164,470,194,481,146
karthik_squats_1 013,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_2 025,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 011,squat,331,304,363,389,236,365,276,364,132,333,324,565,361,716,299,725,363,886,300,872
karthik_squats_3 006,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
001 031,squat,321,301,367,383,229,365,293,363,129,349,319,537,347,713,285,721,355,885,281,871
001 034,squat,299,519,339,601,211,583,265,621,109,593,331,689,323,775,249,765,351,887,281,875
10 010.jpg,squat,164,223,244,161,233,162,265,81,241,93,324,262,416,205,405,197,521,211,492,208
karthik_squats_1 030,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
001 063,squat,315,317,345,387,211,369,265,361,121,347,335,547,343,743,283,723,353,893,281,873
karthik_squats_1 028,squat,352,506,275,599,413,589,246,661,441,648,341,712,303,836,415,841,267,918,369,913
10 008.jpg,squat,302,205,367,148,341,158,390,74,353,88,410,291,424,187,405,189,521,211,492,208
10 038.jpg,squat,316,190,386,144,356,147,407,68,365,77,415,274,398,177,385,175,489,212,465,205
karthik_squats_2 023,squat,358,648,292,732,412,732,264,821,414,801,347,831,280,879,420,884,332,901,434,910
001 001,squat,315,355,355,457,223,443,285,457,129,435,341,591,345,753,277,743,363,897,293,883
10 023.jpg,squat,119,219,195,164,187,165,210,82,194,95,306,242,385,211,395,216,505,207,483,193
karthik_squats_1 052,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
001 093,squat,325,297,365,387,239,375,277,359,141,347,341,573,357,733,303,741,365,897,293,877
10 022.jpg,squat,121,226,199,165,188,166,213,85,195,91,297,245,398,222,389,219,505,207,483,193
karthik_squats_2 036,squat,342,626,288,701,398,692,246,790,425,755,338,792,297,873,405,876,332,901,434,910
001 042,squat,319,313,351,383,209,365,263,345,109,329,315,543,349,719,285,729,343,893,277,877
karthik_squats_2 059,squat,325,647,262,733,379,727,233,826,398,797,341,815,289,865,387,865,332,901,434,910
001 057,squat,295,633,329,703,207,691,265,745,107,715,361,765,311,781,259,773,351,901,283,883
001 060,squat,307,315,349,385,205,369,263,357,109,333,331,551,349,719,293,725,351,889,275,879
karthik_squats_1 008,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
10 025.jpg,squat,134,225,210,169,198,164,24,79,204,94,289,255,392,203,373,198,505,207,483,193
karthik_squats_2 032,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_2 031,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 075,squat,309,481,341,547,221,531,259,561,143,533,331,653,319,769,263,763,359,895,287,879
001 092,squat,331,311,367,395,233,381,285,377,129,361,341,565,353,725,311,733,363,895,291,877
karthik_squats_2 048,squat,337,616,289,686,396,673,251,756,408,744,341,784,287,862,416,863,332,901,434,910
10 040.jpg,squat,244,195,317,150,297,148,343,68,308,77,356,275,396,173,375,173,489,212,465,205
karthik_squats_1 053,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
karthik_squats_2 039,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_2 035,squat,342,626,288,701,398,692,246,790,425,755,338,792,297,873,405,876,332,901,434,910
001 004,squat,296,513,341,618,216,594,267,634,121,594,356,685,319,771,257,767,360,890,291,877
11 028.jpg,squat,139,176,207,235,215,155,235,296,229,210,294,168,396,186,390,142,481,196,491,150
001 094,squat,317,319,353,401,221,385,255,379,119,371,331,565,347,739,301,731,361,895,289,879
10 039.jpg,squat,313,192,388,148,355,146,421,71,367,80,416,267,407,173,388,170,489,212,465,205
001 046,squat,295,639,333,715,207,693,255,745,109,723,371,775,319,781,255,773,347,897,279,877
karthik_squats_1 015,squat,335,541,265,629,405,613,240,696,411,663,337,733,266,861,403,867,267,918,369,913
001 068,squat,309,571,347,643,223,629,265,661,127,635,379,727,311,775,265,769,355,891,291,881
karthik_squats_2 012,squat,370,550,308,620,424,614,294,672,417,658,376,746,293,854,427,847,332,901,434,910
karthik_squats_1 027,squat,344,618,272,698,418,691,244,794,427,773,354,794,274,866,430,878,267,918,369,913
karthik_squats_3 008,squat,391,429,277,486,277,486,124,479,124,479,481,688,337,774,364,771,403,932,401,907
11 030.jpg,squat,141,169,210,228,216,145,234,294,228,202,304,165,396,185,399,146,476,192,489,144
karthik_squats_2 003,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 086,squat,301,575,337,655,205,639,257,681,123,649,361,727,311,781,265,781,359,893,291,881
11 049.jpg,squat,138,177,207,232,212,154,229,298,227,215,306,166,403,184,400,147,476,191,488,145
11 008.jpg,squat,137,188,212,238,221,165,243,297,240,212,309,177,403,193,407,152,470,194,481,146
10 019.jpg,squat,260,186,334,150,313,147,362,74,331,82,366,281,410,178,381,176,505,207,483,193
karthik_squats_1 050,squat,335,617,265,723,389,711,215,834,424,815,318,802,238,884,398,884,267,918,369,913
001 027,squat,305,513,353,597,213,577,273,623,111,577,341,685,323,767,255,759,361,883,295,873
karthik_squats_2 042,squat,351,627,290,707,407,687,237,767,418,740,357,782,290,841,432,858,332,901,434,910
10 050.jpg,squat,307,188,377,136,348,144,398,69,363,70,419,280,401,179,378,173,477,207,456,202
karthik_squats_2 018,squat,377,522,323,614,431,609,296,661,436,630,374,734,308,838,440,850,332,901,434,910
001 056,squat,285,629,327,715,201,701,255,753,107,731,371,771,317,787,261,777,349,901,277,885
10 009.jpg,squat,232,213,311,156,290,155,342,77,310,94,365,278,425,182,404,184,521,211,492,208
001 079,squat,311,443,355,517,229,493,271,515,143,489,341,633,331,753,269,755,357,893,291,875
