Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
4 37.jpg,lunge,144,170,304,213,298,115,387,191,396,128,343,163,433,178,427,134,545,180,406,143
karthik_lunges_2 003,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
karthik_lunges_3 065,lunge,360,554,302,704,438,674,292,810,441,790,345,728,334,856,378,776,338,804,373,931
karthik_lunges 015,lunge,287,504,200,694,360,681,202,803,361,776,282,742,228,824,316,868,212,1016,338,874
4 07.jpg,lunge,74,137,215,189,224,96,299,180,307,113,270,145,358,168,360,133,465,168,434,138
karthik_lunges_3 040,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges_3 030,lunge,372,342,307,512,449,511,309,616,443,614,372,577,342,707,398,696,348,783,409,855
6 008.jpg,lunge,244,82,369,90,352,124,384,30,423,92,371,134,401,35,466,121,495,62,464,216
005 066,lunge,307,455,265,617,265,617,297,723,297,723,301,673,383,773,281,833,453,899,247,941
karthik_lunges_2 028,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
5 012.jpg,lunge,153,254,277,295,268,230,351,273,336,221,318,249,405,262,399,235,497,267,481,243
003 025,lunge,361,415,313,583,313,583,357,677,357,677,329,625,325,763,433,733,223,845,519,843
6 004.jpg,lunge,226,107,370,130,333,114,451,106,368,49,374,142,494,113,383,46,490,222,477,71
karthik_lunges 044,lunge,253,614,178,803,333,778,172,927,357,899,264,840,205,887,287,959,206,1069,289,897
6 006.jpg,lunge,108,223,253,241,238,227,335,214,315,203,290,242,405,231,405,231,506,233,486,227
karthik_lunges_3 008,lunge,345,350,301,523,425,501,301,628,437,613,354,584,330,693,392,695,346,808,388,815
karthik_lunges_3 010,lunge,357,358,299,531,426,525,293,642,444,624,360,596,330,717,400,714,343,814,399,867
4 20.jpg,lunge,61,175,197,220,200,127,279,212,286,138,249,175,351,190,346,154,422,191,417,157
5 013.jpg,lunge,164,238,292,274,279,200,366,243,349,174,323,227,423,255,395,174,497,267,498,136
005 081,lunge,331,433,299,593,299,593,339,707,339,707,321,663,389,763,301,811,425,905,289,929
karthik_lunges 049,lunge,312,391,234,559,373,552,233,667,372,652,299,630,259,734,325,735,255,857,297,867
003 014,lunge,281,357,259,527,259,527,303,625,303,625,237,581,265,711,219,727,259,843,235,873
005 063,lunge,253,445,229,607,229,607,287,697,287,697,227,657,237,801,237,801,229,941,229,941
5 004.jpg,lunge,286,70,416,125,392,47,496,109,390,49,420,88,543,107,454,6,503,153,551,33
4 21.jpg,lunge,76,184,217,227,216,130,298,216,300,139,265,181,363,187,353,152,426,188,495,144
karthik_lunges_2 048,lunge,324,423,313,596,313,596,272,722,272,722,348,682,180,717,331,795,131,858,461,858
4 14.jpg,lunge,139,172,287,229,292,122,381,221,371,139,330,175,430,201,427,144,435,192,556,146
5 034.jpg,lunge,159,231,295,257,273,189,373,226,350,150,337,216,419,238,376,148,498,273,485,95
6 024.jpg,lunge,203,100,348,109,309,116,421,103,343,53,346,140,466,129,361,42,465,238,450,76
6 034.jpg,lunge,165,159,308,166,279,147,389,137,322,76,323,180,441,149,347,71,461,250,442,89
5 015.jpg,lunge,268,143,404,180,369,118,476,161,419,70,413,145,520,183,433,63,497,267,526,88
005 055,lunge,475,615,429,781,429,781,467,887,467,887,441,805,551,823,397,959,523,947,245,957
karthik_lunges 082,lunge,296,616,196,786,354,773,193,920,371,888,294,840,235,888,313,950,246,1061,313,897
karthik_lunges_3 059,lunge,355,466,291,627,432,612,292,746,447,722,347,675,33,801,386,751,334,798,377,930
6 033.jpg,lunge,73,268,225,274,209,258,313,238,275,210,261,282,386,255,345,194,475,260,442,199
4 26.jpg,lunge,96,158,237,208,242,106,316,193,328,119,281,155,389,175,365,132,520,178,419,143
005 069,lunge,465,545,451,693,451,693,509,795,509,795,439,757,565,781,390,893,571,919,263,919
karthik_lunges_3 032,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges_3 022,lunge,369,356,316,537,452,514,325,640,458,636,372,584,355,715,415,706,366,796,423,863
4 47.jpg,lunge,51,146,197,191,204,98,277,185,281,112,242,145,331,172,330,129,415,177,412,137
karthik_lunges 083,lunge,316,480,237,65,370,649,236,752,385,751,318,720,275,829,336,831,255,1007,329,879
karthik_lunges_2 009,lunge,331,456,319,615,413,630,284,748,398,726,361,706,226,703,387,802,202,833,522,867
karthik_lunges_3 028,lunge,367,503,321,688,452,653,323,812,471,779,377,727,340,857,411,784,348,796,405,939
5 011.jpg,lunge,154,225,285,247,270,197,352,214,328,176,308,217,408,213,402,235,508,223,492,189
karthik_lunges_3 041,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
005 097,lunge,345,445,307,605,307,605,349,721,349,721,331,675,429,767,319,803,55,877,295,935
005 096,lunge,319,437,271,597,271,597,299,711,299,711,297,655,359,783,289,793,381,917,293,941
4 05.jpg,lunge,98,157,271,201,264,108,356,191,351,124,295,151,396,179,413,124,423,170,549,120
karthik_lunges_3 064,lunge,355,466,291,627,432,612,292,746,447,722,347,675,33,801,386,751,334,798,377,930
6 045.jpg,lunge,150,205,298,218,276,189,378,182,330,126,316,225,373,121,432,188,489,271,369,120
karthik_lunges_3 011,lunge,390,439,303,612,458,606,303,725,460,721,369,673,343,799,404,765,335,819,399,933
karthik_lunges_2 073,lunge,418,353,435,534,435,534,428,655,428,655,447,604,363,717,438,741,346,883,508,875
karthik_lunges_2 040,lunge,308,407,331,589,331,589,302,719,332,720,348,685,203,732,336,782,134,837,474,853
003 039,lunge,347,433,303,599,303,599,339,697,339,697,325,641,317,777,407,755,241,885,485,889
6 040.jpg,lunge,191,142,322,120,325,159,372,62,395,153,341,168,390,67,443,152,484,99,449,252
003 015,lunge,293,363,255,529,255,529,297,639,297,639,247,589,255,723,275,717,275,855,245,873
karthik_lunges 036,lunge,308,508,206,702,358,700,195,817,371,810,98,752,249,826,312,878,237,1011,314,853
karthik_lunges_2 046,lunge,221,482,253,655,253,654,213,784,287,769,275,729,124,725,303,846,111,855,432,859
4 33.jpg,lunge,54,170,200,232,206,132,283,217,283,142,244,181,351,188,358,151,404,184,462,132
5 017.jpg,lunge,151,248,283,284,267,224,353,262,343,220,324,241,410,258,404,236,499,264,479,250
karthik_lunges_3 018,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges_2 043,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
karthik_lunges 032,lunge,299,409,227,576,361,567,222,684,358,670,296,629,259,758,305,761,244,925,297,864
karthik_lunges_3 020,lunge,390,504,318,681,450,681,316,809,462,801,369,732,350,861,356,805,414,781,405,935
003 006,lunge,423,465,393,637,393,637,429,739,429,739,405,671,395,805,523,727,263,837,563,865
6 018.jpg,lunge,184,132,314,113,311,161,360,52,380,148,333,164,378,55,435,145,468,90,443,248
karthik_lunges_3 043,lunge,350,492,296,665,436,647,292,784,451,769,354,710,338,837,383,745,342,788,377,933
4 41.jpg,lunge,188,156,340,209,331,104,430,199,406,125,364,155,471,185,450,134,433,182,528,136
karthik_lunges_3 052,lunge,351,424,291,589,427,575,282,707,431,706,347,641,327,771,378,737,325,803,378,925
4 46.jpg,lunge,149,164,301,212,303,109,390,196,397,119,333,158,441,183,434,131,560,178,418,147
4 42.jpg,lunge,61,175,220,228,222,123,299,218,296,137,254,173,347,199,354,144,401,184,509,132
005 085,lunge,545,567,511,727,511,725,557,815,557,812,505,775,639,783,465,911,607,915,327,911
4 49.jpg,lunge,141,160,299,212,287,103,379,209,370,119,326,156,436,185,420,129,406,177,535,132
005 061,lunge,281,457,241,615,241,615,277,721,277,721,265,673,247,827,247,827,235,953,235,953
005 093,lunge,289,433,259,591,259,591,311,703,311,703,267,639,273,793,273,793,283,931,283,931
karthik_lunges_2 010,lunge,455,364,424,546,522,545,397,676,501,658,472,648,374,726,465,743,362,872,524,896
karthik_lunges_3 027,lunge,375,453,313,622,457,626,313,739,468,726,366,676,341,815,406,761,352,783,397,925
6 007.jpg,lunge,140,182,281,170,287,189,346,120,328,161,304,193,391,113,409,178,497,65,486,232
005 053,lunge,433,593,405,751,405,751,439,853,439,853,391,793,525,827,389,941,525,965,233,967
6 003.jpg,lunge,237,93,379,129,340,108,462,113,370,43,377,116,497,112,389,37,494,222,479,71
6 012.jpg,lunge,92,250,242,259,227,230,335,236,291,183,282,262,387,236,339,167,489,262,443,144
6 019.jpg,lunge,196,121,319,98,323,148,357,42,391,144,342,144,368,49,441,146,464,85,431,242
5 037.jpg,lunge,145,242,287,264,268,217,358,236,339,182,318,228,423,249,391,193,498,273,474,213
003 032,lunge,327,425,299,587,299,587,331,707,331,707,303,637,301,765,405,735,235,877,509,845
karthik_lunges 053,lunge,268,606,170,781,343,763,140,940,363,883,279,826,221,884,301,945,208,1073,299,900
karthik_lunges 030,lunge,312,391,234,559,373,552,233,667,372,652,299,630,259,734,325,735,255,857,297,867
6 015.jpg,lunge,70,245,222,258,221,227,316,224,284,191,241,257,390,242,343,189,474,268,441,179
karthik_lunges_2 077,lunge,373,404,413,572,413,572,409,710,409,710,369,622,281,743,410,754,148,839,492,871
5 001.jpg,lunge,159,136,290,186,282,106,357,166,353,101,333,142,412,156,406,112,504,151,487,127
karthik_lunges_2 031,lunge,229,500,225,659,225,659,189,785,236,768,276,737,117,697,296,835,99,858,440,846
karthik_lunges_2 053,lunge,400,372,414,562,414,562,419,692,394,673,426,653,292,727,400,747,172,830,474,882
5 045.jpg,lunge,138,260,273,287,258,230,350,253,334,204,312,246,410,259,382,202,489,269,471,220
4 06.jpg,lunge,62,150,211,200,212,101,290,188,293,116,256,153,363,171,358,131,432,167,428,130
6 009.jpg,lunge,221,102,356,96,343,129,381,36,416,101,365,138,396,43,465,128,495,67,463,223
karthik_lunges 010,lunge,357,379,256,546,396,558,223,649,402,663,325,625,280,739,350,741,250,880,323,864
003 026,lunge,311,379,271,547,271,547,311,659,311,659,261,595,267,727,353,715,225,863,341,855
6 001.jpg,lunge,131,174,274,211,256,153,362,179,322,112,304,182,413,180,360,108,500,222,473,67
5 042.jpg,lunge,196,163,332,161,311,140,382,95,420,118,349,168,410,79,442,160,521,67,480,239
6 023.jpg,lunge,180,134,323,149,286,138,406,121,332,71,333,161,454,140,355,63,477,242,458,79
5 049.jpg,lunge,131,250,269,279,253,229,343,254,325,217,313,244,407,259,389,241,483,268,471,253
003 035,lunge,479,541,431,703,431,703,485,803,485,803,427,731,397,873,565,761,265,857,571,897
karthik_lunges_2 014,lunge,369,401,356,592,442,616,339,739,406,709,385,690,226,758,378,781,126,838,452,908
karthik_lunges_2 052,lunge,465,336,474,534,488,524,424,644,422,644,498,610,403,725,464,733,462,881,485,877
karthik_lunges_2 078,lunge,241,508,275,647,293,655,223,760,267,761,291,709,140,715,327,834,128,843,476,849
karthik_lunges_2 017,lunge,326,373,287,563,323,572,242,671,307,668,321,638,204,692,349,715,130,807,457,828
005 087,lunge,545,549,507,711,507,711,541,821,541,821,506,749,621,777,459,909,607,919,315,919
003 034,lunge,453,515,401,685,401,685,455,779,455,779,415,705,399,843,545,757,263,857,571,897
karthik_lunges 052,lunge,285,507,210,676,350,668,193,774,362,768,292,751,238,860,303,857,216,1047,297,892
003 010,lunge,397,439,371,601,371,301,413,711,413,711,397,633,383,777,513,703,249,821,547,847
4 27.jpg,lunge,214,171,352,220,372,119,434,188,463,127,392,166,475,180,487,136,551,176,453,140
karthik_lunges_3 062,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges 079,lunge,330,449,254,625,383,607,256,716,387,709,330,673,287,784,346,778,256,947,312,884
karthik_lunges_2 027,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
003 003,lunge,309,361,271,529,271,529,299,637,299,637,279,595,267,713,331,709,261,857,349,861
karthik_lunges_3 029,lunge,368,462,311,644,461,637,306,754,472,745,372,682,347,825,414,753,361,776,401,929
5 030.jpg,lunge,273,107,411,122,389,101,438,42,463,98,415,130,455,42,502,160,537,81,474,262
003 036,lunge,493,545,439,717,441,717,473,817,473,817,449,729,395,873,569,767,265,861,569,891
005 080,lunge,315,427,281,593,281,593,323,703,323,703,289,655,341,773,283,797,303,903,289,931
karthik_lunges_2 001,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
5 005.jpg,lunge,262,98,401,143,370,69,479,124,430,24,408,109,525,120,448,21,503,153,544,52
karthik_lunges 014,lunge,328,412,255,573,386,569,251,678,405,681,316,650,277,754,342,769,241,930,324,863
karthik_lunges_3 025,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
6 020.jpg,lunge,100,195,244,176,243,206,313,134,302,196,264,210,343,133,376,197,462,92,446,262
karthik_lunges 004,lunge,340,377,265,534,393,532,254,639,396,640,333,603,291,723,354,725,277,837,333,835
karthik_lunges 033,lunge,278,474,197,653,341,649,194,750,343,756,281,717,239,827,305,830,221,1009,310,859
karthik_lunges_3 066,lunge,355,466,291,627,432,612,292,746,447,722,347,675,33,801,386,751,334,798,377,930
005 074,lunge,395,473,359,631,359,631,413,741,413,741,385,693,479,777,359,837,561,901,259,923
4 30.jpg,lunge,58,184,191,228,194,133,275,215,274,142,244,177,338,189,339,152,408,184,417,144
karthik_lunges_2 061,lunge,378,412,413,580,413,580,417,709,436,686,377,654,273,746,392,770,144,839,465,886
5 002.jpg,lunge,159,132,292,184,278,109,360,163,355,104,338,130,419,158,408,113,503,153,485,124
karthik_lunges 012,lunge,356,380,266,539,410,546,265,642,417,657,332,616,284,727,345,727,284,850,321,854
4 22.jpg,lunge,216,163,365,215,352,104,446,204,425,128,391,160,494,194,471,141,442,188,541,143
karthik_lunges_2 044,lunge,458,321,473,528,473,528,467,667,467,667,434,619,372,715,466,730,435,863,494,876
5 050.jpg,lunge,136,250,267,281,260,224,340,250,327,217,312,241,399,248,395,241,485,268,471,255
karthik_lunges_2 075,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
karthik_lunges 039,lunge,312,391,234,559,373,552,233,667,372,652,299,630,259,734,325,735,255,857,297,867
karthik_lunges_2 024,lunge,325,458,331,631,331,631,295,759,344,756,357,713,217,689,381,818,212,837,522,851
005 050,lunge,491,537,441,697,441,697,481,799,481,799,451,727,397,863,571,761,263,851,559,895
karthik_lunges 041,lunge,314,407,233,571,363,570,224,677,370,673,301,643,253,764,313,751,242,895,305,869
4 08.jpg,lunge,183,176,327,208,334,102,417,188,431,119,364,159,469,186,476,134,575,178,476,134
6 036.jpg,lunge,160,155,306,161,268,161,383,139,323,94,310,183,433,157,347,88,466,266,447,99
karthik_lunges 028,lunge,311,397,231,576,369,572,216,680,364,678,301,639,261,753,319,760,224,913,301,875
6 016.jpg,lunge,71,268,215,272,207,255,302,239,279,230,258,282,369,254,356,257,472,253,448,259
karthik_lunges 051,lunge,306,442,231,605,356,610,218,713,368,703,300,666,258,780,313,785,238,940,297,896
karthik_lunges_2 035,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
karthik_lunges 092,lunge,324,489,229,650,392,652,214,764,397,763,317,733,280,829,329,833,256,1020,333,890
5 016.jpg,lunge,158,238,293,281,278,209,366,250,349,188,322,233,426,253,397,183,497,267,486,199
5 009.jpg,lunge,260,49,397,85,386,62,447,9,431,67,402,98,472,12,492,110,566,29,492,189
karthik_lunges_3 037,lunge,371,407,310,592,443,576,320,730,452,693,379,650,336,776,397,739,341,788,405,923
karthik_lunges 038,lunge,312,391,234,559,373,552,233,667,372,652,299,630,259,734,325,735,255,857,297,867
6 032.jpg,lunge,71,269,219,278,206,259,307,247,279,226,262,284,375,256,356,239,475,265,451,252
4 34.jpg,lunge,54,147,191,212,197,117,267,204,275,127,235,163,342,182,338,147,405,184,403,146
003 018,lunge,367,409,325,571,325,571,351,673,351,373,355,621,327,749,449,725,253,861,541,829
karthik_lunges_2 050,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
6 021.jpg,lunge,77,261,234,272,226,253,315,237,285,214,268,277,379,259,365,240,481,254,461,255
5 025.jpg,lunge,262,127,399,156,361,104,473,140,406,53,407,131,520,161,425,49,503,261,518,76
4 15.jpg,lunge,66,193,205,236,203,142,293,219,290,156,244,186,360,195,340,162,423,189,420,161
6 047.jpg,lunge,208,136,349,146,309,153,426,132,354,91,352,170,470,153,378,89,477,257,469,112
karthik_lunges 067,lunge,310,427,242,598,376,595,244,698,383,683,311,673,279,779,323,773,261,888,308,900
karthik_lunges_2 020,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,882
karthik_lunges_2 056,lunge,288,424,291,603,291,603,267,738,267,738,319,694,174,725,339,789,142,853,455,862
karthik_lunges_2 055,lunge,196,488,242,653,242,653,204,786,247,786,280,740,123,726,304,845,128,859,445,864
6 027.jpg,lunge,87,261,234,265,217,245,311,236,290,215,265,273,389,240,372,232,489,243,465,243
karthik_lunges_3 051,lunge,365,526,306,668,442,669,298,791,442,784,351,724,333,849,393,771,335,807,378,930
005 084,lunge,517,521,487,679,487,679,539,779,539,779,479,729,607,763,455,977,625,919,307,921
karthik_lunges 068,lunge,310,427,242,598,376,595,244,698,383,683,311,673,279,779,323,773,261,888,308,900
karthik_lunges_2 018,lunge,439,311,414,492,452,492,398,624,457,587,463,616,387,702,467,693,395,847,475,849
karthik_lunges_2 068,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
6 037.jpg,lunge,74,253,229,270,221,251,316,240,292,206,273,277,392,255,354,212,480,279,451,225
karthik_lunges_3 023,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges_2 008,lunge,256,511,258,656,364,656,233,776,350,735,304,718,179,695,351,834,197,834,490,875
005 056,lunge,471,609,433,771,433,771,467,877,467,877,441,811,555,821,405,955,535,951,259,953
karthik_lunges 084,lunge,313,409,247,578,374,565,250,687,382,659,321,655,285,753,388,757,264,862,324,884
karthik_lunges_3 002,lunge,344,422,291,576,419,568,278,684,440,670,348,641,319,764,385,756,3332,826,397,899
003 019,lunge,427,455,399,615,399,615,425,715,425,715,389,649,397,777,527,725,257,837,577,863
005 067,lunge,353,471,319,627,319,627,347,745,347,745,349,705,441,777,325,837,525,891,247,941
003 037,lunge,483,517,427,687,427,687,451,793,451,799,447,721,399,857,573,761,259,863,579,899
karthik_lunges 066,lunge,310,427,242,598,376,595,244,698,383,683,311,673,279,779,323,773,261,888,308,900
karthik_lunges_3 019,lunge,386,455,311,641,454,626,302,745,468,735,377,672,351,814,403,755,352,796,400,933
karthik_lunges_3 072,lunge,355,466,291,627,432,612,292,746,447,722,347,675,33,801,386,751,334,798,377,930
003 008,lunge,473,505,437,677,437,677,481,777,481,777,445,693,409,839,569,729,265,831,565,863
5 031.jpg,lunge,223,161,362,160,335,138,403,94,439,127,373,161,424,78,464,175,533,77,474,262
6 017.jpg,lunge,79,247,220,238,221,253,291,185,291,242,258,247,362,171,386,236,451,131,456,255
karthik_lunges 002,lunge,326,368,263,527,388,529,254,638,391,643,326,602,282,718,352,722,273,844,342,850
karthik_lunges 070,lunge,308,481,239,628,375,627,236,736,376,722,310,691,270,806,326,819,251,970,316,898
karthik_lunges 098,lunge,329,406,261,574,381,574,248,695,384,687,334,647,276,761,332,765,259,885,320,880
karthik_lunges_2 037,lunge,356,413,385,598,385,598,394,726,358,679,379,685,217,743,361,762,128,850,462,868
karthik_lunges_2 033,lunge,445,323,404,556,405,556,403,675,402,675,442,618,330,710,440,722,307,879,486,872
005 060,lunge,301,467,263,621,263,621,305,733,305,733,279,695,333,809,277,825,307,935,239,965
karthik_lunges 054,lunge,281,610,195,794,347,786,183,895,359,890,270,839,215,883,310,963,216,1053,295,914
karthik_lunges_3 006,lunge,338,470,305,605,440,583,305,728,471,688,365,666,335,791,394,765,331,816,417,942
karthik_lunges_3 055,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
005 094,lunge,295,443,259,595,259,595,297,705,297,705,267,659,273,805,273,805,281,927,281,927
6 014.jpg,lunge,192,149,342,150,298,147,416,135,338,78,340,171,463,146,348,73,469,247,446,97
5 014.jpg,lunge,262,136,397,179,368,108,471,158,418,64,410,136,522,177,438,60,497,267,529,88
karthik_lunges_3 058,lunge,360,554,302,704,438,674,292,810,441,790,345,728,334,856,378,776,338,804,373,931
003 011,lunge,327,395,295,551,295,551,337,661,337,661,303,593,329,729,409,703,223,841,495,833
003 013,lunge,275,351,247,521,247,521,311,623,311,623,251,573,243,729,243,729,257,851,221,867
