Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
005 079,lunge,303,421,269,597,269,597,323,689,323,689,275,647,281,779,281,779,269,919,269,915
karthik_lunges_3 054,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
5 028.jpg,lunge,149,255,276,280,272,222,339,233,329,218,322,242,391,217,400,248,495,232,474,262
003 027,lunge,277,365,243,537,243,537,293,629,291,627,231,589,231,719,271,717,217,863,231,863
karthik_lunges 071,lunge,286,585,210,720,367,714,195,818,361,820,301,788,250,862,312,899,245,1061,318,889
karthik_lunges_2 023,lunge,276,505,293,656,293,653,258,778,258,778,328,730,182,684,363,838,178,845,504,840
karthik_lunges_2 070,lunge,253,479,288,648,288,648,297,776,297,776,327,710,147,721,320,827,126,858,467,853
003 017,lunge,327,381,281,533,281,533,315,639,315,639,283,589,291,735,383,711,251,861,473,821
karthik_lunges_3 049,lunge,345,359,386,522,410,519,26,643,425,629,350,593,329,708,378,707,331,799,374,863
6 042.jpg,lunge,115,200,257,189,244,215,327,139,327,203,272,212,367,136,396,208,481,95,468,270
005 058,lunge,397,531,361,687,361,687,405,795,405,795,383,739,501,811,373,891,537,939,235,957
karthik_lunges_3 021,lunge,380,473,327,655,465,641,319,773,460,762,33,702,352,830,399,762,363,806,400,943
5 047.jpg,lunge,254,115,393,149,349,107,463,135,392,52,387,127,507,156,408,37,489,269,502,71
4 28.jpg,lunge,130,161,286,206,286,105,369,188,381,116,336,157,424,178,420,125,550,174,407,140
karthik_lunges 009,lunge,311,464,216,647,371,632,213,755,375,746,299,702,247,805,321,826,207,994,328,858
karthik_lunges_2 060,lunge,453,349,466,542,466,542,449,687,449,687,493,630,389,733,460,752,449,883,483,895
karthik_lunges 026,lunge,241,592,145,786,325,763,131,910,343,881,251,824,196,884,279,942,202,1037,280,889
005 083,lunge,443,477,411,643,411,643,463,749,463,749,433,713,543,775,401,839,619,911,303,921
003 009,lunge,453,473,419,641,419,641,457,765,457,765,433,677,401,819,553,715,259,821,555,853
karthik_lunges 063,lunge,305,623,203,798,359,792,203,918,370,909,301,851,239,897,321,967,243,1065,313,903
karthik_lunges_3 001,lunge,344,422,291,576,419,568,278,684,440,670,348,641,319,764,385,756,3332,826,397,899
karthik_lunges 095,lunge,329,406,261,574,381,574,248,695,384,687,334,647,276,761,332,765,259,885,320,880
karthik_lunges 078,lunge,330,410,258,586,383,579,251,687,392,683,326,643,292,755,339,755,262,878,320,875
6 026.jpg,lunge,75,243,237,253,218,235,316,228,286,194,265,268,385,241,350,195,483,249,443,226
karthik_lunges 027,lunge,281,496,194,682,344,669,181,790,360,780,281,731,2247,834,299,867,218,1023,305,884
5 003.jpg,lunge,187,106,313,168,312,73,389,143,485,47,348,115,438,131,413,49,503,153,533,5
5 007.jpg,lunge,165,187,289,228,280,166,363,207,342,168,328,189,427,203,409,181,503,153,492,189
003 044,lunge,261,403,229,581,229,581,279,673,279,673,221,643,225,771,257,769,237,905,201,919
karthik_lunges_3 009,lunge,345,350,301,523,425,501,301,628,437,613,354,584,330,693,392,695,346,808,388,815
003 029,lunge,257,373,227,359,227,539,269,643,269,643,215,601,241,735,197,747,233,875,197,881
5 044.jpg,lunge,136,263,271,295,254,246,342,262,328,224,308,253,409,268,390,235,489,269,471,248
4 48.jpg,lunge,55,169,192,214,207,122,270,202,273,123,241,164,347,177,341,139,414,176,414,138
karthik_lunges_3 045,lunge,332,358,292,517,416,512,294,640,433,629,342,593,327,718,384,710,325,802,387,874
karthik_lunges_3 004,lunge,363,578,301,709,445,683,310,834,474,811,363,754,333,882,421,797,340,815,404,973
karthik_lunges_3 056,lunge,345,359,386,522,410,519,26,643,425,629,350,593,329,708,378,707,331,799,374,863
karthik_lunges_2 076,lunge,450,356,482,534,482,534,467,672,467,672,440,598,394,720,492,720,443,863,509,881
003 024,lunge,419,473,381,633,381,633,423,747,423,747,415,677,375,803,523,727,237,839,559,859
5 006.jpg,lunge,165,183,297,232,292,156,371,208,356,150,326,186,430,203,401,153,503,153,489,178
5 023.jpg,lunge,164,241,298,275,276,204,368,242,347,169,332,228,422,248,386,169,503,261,491,124
karthik_lunges 017,lunge,280,563,189,751,348,735,177,860,356,854,287,800,227,849,322,917,216,1017,315,848
karthik_lunges 055,lunge,292,553,191,745,356,733,199,852,368,842,297,803,256,877,308,917,230,1063,299,896
karthik_lunges 013,lunge,356,380,266,539,410,546,265,642,417,657,332,616,284,727,345,727,284,850,321,854
karthik_lunges 022,lunge,328,394,355,569,385,553,249,663,401,659,323,635,290,733,347,740,285,855,340,867
karthik_lunges_3 074,lunge,370,397,296,575,433,550,306,675,444,658,352,62,333,743,384,726,343,806,389,904
003 038,lunge,405,465,357,635,357,635,391,739,391,739,385,685,369,805,501,769,247,871,569,901
4 45.jpg,lunge,185,168,325,218,344,111,411,187,435,124,370,164,452,177,462,137,559,181,438,147
4 23.jpg,lunge,168,163,331,212,314,104,412,204,395,120,350,159,455,193,442,127,420,174,540,138
4 11.jpg,lunge,70,170,206,212,214,126,286,206,293,133,232,174,351,186,349,139,431,182,431,145
karthik_lunges_3 039,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges 097,lunge,329,406,261,574,381,574,248,695,384,687,334,647,276,761,332,765,259,885,320,880
005 070,lunge,501,573,477,743,477,743,529,837,529,837,461,771,591,785,429,915,579,921,269,915
karthik_lunges_3 075,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
003 016,lunge,301,365,263,523,263,523,297,637,297,637,251,593,263,717,339,709,239,855,313,847
5 035.jpg,lunge,250,118,384,153,355,105,459,138,397,51,392,125,507,165,418,47,498,273,510,81
karthik_lunges_2 072,lunge,326,437,345,607,345,607,298,733,312,729,349,672,212,720,361,790,126,854,491,850
4 31.jpg,lunge,139,153,285,217,286,106,377,213,362,122,329,162,421,196,424,127,401,195,527,136
5 010.jpg,lunge,260,106,396,125,380,92,440,48,459,96,404,131,462,38,498,140,557,65,492,189
005 059,lunge,331,487,297,651,297,651,341,751,341,751,319,703,403,799,301,855,447,935,241,971
karthik_lunges_2 002,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
5 020.jpg,lunge,266,118,402,118,376,101,442,49,458,96,403,128,461,44,493,148,553,66,479,250
karthik_lunges_3 015,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges_2 030,lunge,264,454,292,638,292,639,293,770,300,770,324,721,149,700,311,821,128,858,452,848
6 044.jpg,lunge,88,272,232,286,238,259,319,252,301,232,289,287,391,270,378,248,493,276,472,261
karthik_lunges 046,lunge,304,480,201,651,357,648,198,769,358,757,298,708,253,829,308,836,2166,1009,297,893
4 16.jpg,lunge,66,171,202,217,206,125,291,205,287,137,242,171,341,191,341,152,436,191,420,158
karthik_lunges 058,lunge,300,421,228,597,370,583,230,699,376,696,308,661,265,773,319,774,265,886,306,895
karthik_lunges 057,lunge,300,421,228,597,370,583,230,699,376,696,308,661,265,773,319,774,265,886,306,895
karthik_lunges_2 019,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,882
5 027.jpg,lunge,143,272,279,302,261,248,349,270,331,233,324,254,320,289,399,245,490,271,474,262
karthik_lunges_3 068,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges_3 012,lunge,390,512,319,685,462,675,327,806,470,798,383,734,353,871,418,782,364,807,414,932
karthik_lunges_3 060,lunge,345,359,386,522,410,519,26,643,425,629,350,593,329,708,378,707,331,799,374,863
karthik_lunges 093,lunge,329,406,261,574,381,574,248,695,384,687,334,647,276,761,332,765,259,885,320,880
4 44.jpg,lunge,66,151,203,201,211,105,284,189,291,113,245,151,350,175,349,137,460,175,417,140
4 12.jpg,lunge,89,185,234,221,240,136,311,224,320,144,265,181,369,194,389,149,432,188,520,141
4 39.jpg,lunge,42,170,181,217,184,124,261,208,264,130,230,168,329,183,327,143,404,180,400,144
karthik_lunges 011,lunge,356,380,266,539,410,546,265,642,417,657,332,616,284,727,345,727,284,850,321,854
karthik_lunges_2 006,lunge,443,358,427,554,494,572,409,688,487,664,436,659,318,741,447,755,236,821,514,890
